"filename", "language", "JSON", "XML", "C#", "HLSL", "ShaderLab", "CMake", "log", "CMake Cache", "C", "C++", "comment", "blank", "total"
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\cache-v2-a327c19187d8ec325b9a.json", "JSON", 1443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1444
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-67f0f81ed91fa8fb867f.json", "JSON", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 207
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\codemodel-v2-73c713e1e2757fc9cc85.json", "JSON", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 124
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\directory-FramePacing-Debug-7f9c8865fd027a154c90.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\directory-GameActivity-Debug-3edf2ef9e25ca0503118.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\index-2025-07-13T13-50-39-0143.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\target-game-Debug-26fa90b595d77289655f.json", "JSON", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 327
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\.cmake\api\v1\reply\target-swappywrapper-Debug-a6a095279c2b26eb4022.json", "JSON", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 175
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 340, 0, 0, 0, 91, 431
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 18, 73
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 20, 84
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 598, 64, 130, 792
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 610, 0, 62, 132, 804
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\CMakeFiles\CMakeOutput.log", "log", 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 72, 308
